# SwiftEEG raw counts,rate=1000,gain=24,lsb_uv=0.022351742
ts_us,seq,ch1_C4,ch2_P4,ch3_F4,ch4_Oz,ch5_AFz,ch6_F3,ch7_C3,ch8_P3
2103110642,2045372,-4550375,3999868,-5091546,3664016,-6181945,-7443788,-6806412,-6975617
2103110643,2045373,-4550606,3999849,-5091786,3662024,-6182237,-7443665,-6802759,-6974499
2103110644,2045374,-4550003,3998698,-5091391,3659883,-6181621,-7443127,-6799154,-6972807
2103110645,2045375,-4548787,3996782,-5090526,3658278,-6180311,-7442222,-6795421,-6970567
2103110646,2045376,-4547424,3994690,-5089600,3657651,-6178853,-7441276,-6791771,-6968136
2103110647,2045377,-4545512,3991954,-5088256,3657285,-6176942,-7440104,-6787909,-6965157
2103110648,2045378,-4541719,3986923,-5085415,3654951,-6173514,-7438224,-6783099,-6960335
2103110649,2045379,-4536859,3980674,-5081986,3651632,-6169072,-7435869,-6777441,-6954095
2103110650,2045380,-4532572,3976206,-5079116,3661174,-6165052,-7433743,-6773664,-6949172
2103110651,2045381,-4530401,3977095,-5077667,3699521,-6163441,-7433719,-6780673,-6951543
2103110652,2045382,-4529639,3978244,-5077124,3720248,-6162982,-7434335,-6790329,-6955777
2103110653,2045383,-4529777,3978723,-5077176,3722333,-6162994,-7434920,-6796608,-6958433
2103110654,2045384,-4530427,3979799,-5077531,3723803,-6163366,-7435542,-6801868,-6960939
2103110655,2045385,-4531515,3981410,-5078189,3724940,-6164163,-7436344,-6806777,-6963625
2103110656,2045386,-4533156,3983603,-5079343,3725212,-6165509,-7437565,-6811771,-6966753
2103110657,2045387,-4535143,3986417,-5080728,3725596,-6167411,-7438864,-6816679,-6970137
2103110658,2045388,-4538945,3991619,-5083411,3726741,-6171090,-7440856,-6822289,-6975146
2103110659,2045389,-4543729,3996491,-5086701,3711752,-6175374,-7442659,-6824402,-6978972
2103110660,2045390,-4547837,3998155,-5089446,3675791,-6178553,-7443221,-6816552,-6977129
2103110661,2045391,-4550252,4000089,-5091139,3666878,-6180598,-7443487,-6809785,-6975619
2103110662,2045392,-4551354,4001202,-5092019,3665373,-6181730,-7443697,-6805669,-6974883
2103110663,2045393,-4551748,4001336,-5092416,3663282,-6182190,-7443732,-6802181,-6973937
